date,temperature
04-08-1961,29.06970978
05-08-1961,28.83500481
06-08-1961,28.4608345
07-08-1961,28.87326813
08-08-1961,28.80662155
09-08-1961,27.54645348
10-08-1961,27.53432465
11-08-1961,27.67356682
12-08-1961,27.17935944
13-08-1961,28.84525871
14-08-1961,29.26389694
15-08-1961,28.13673019
16-08-1961,26.87024879
17-08-1961,25.8904953
18-08-1961,27.48467445
19-08-1961,28.73570061
20-08-1961,29.50478363
21-08-1961,28.12584496
22-08-1961,26.35749435
23-08-1961,26.2630291
24-08-1961,28.0201416
25-08-1961,28.62845421
26-08-1961,29.69145966
27-08-1961,28.25418472
28-08-1961,28.20104599
29-08-1961,29.43998718
30-08-1961,28.83127022
31-08-1961,26.45901299
01-09-1961,27.27510452
02-09-1961,27.63738823
03-09-1961,27.80737305
04-09-1961,27.07431602
05-09-1961,27.74362183
06-09-1961,28.34892082
07-09-1961,27.90557098
08-09-1961,27.78255844
09-09-1961,27.0600853
10-09-1961,27.39862251
11-09-1961,27.49638939
12-09-1961,27.56962967
13-09-1961,27.63859558
14-09-1961,29.22498894
15-09-1961,28.76276398
16-09-1961,27.33655548
17-09-1961,28.05173683
18-09-1961,28.94161034
19-09-1961,28.88245773
20-09-1961,28.90414619
21-09-1961,28.39290237
22-09-1961,28.40497017
23-09-1961,27.80695343
24-09-1961,27.13548851
25-09-1961,26.71499825
26-09-1961,27.09630013
27-09-1961,27.23108101
28-09-1961,27.04342651
29-09-1961,27.67812729
30-09-1961,27.6600399
01-10-1961,27.71463203
02-10-1961,27.06259155
03-10-1961,26.48589897
04-10-1961,26.14494514
05-10-1961,26.58838272
06-10-1961,27.04031372
07-10-1961,26.93408012
08-10-1961,25.34005928
09-10-1961,25.42755699
10-10-1961,24.16281509
11-10-1961,24.62813377
12-10-1961,24.45377159
13-10-1961,22.78780174
14-10-1961,23.85071945
15-10-1961,21.87812042
16-10-1961,21.36398125
17-10-1961,20.83262253
18-10-1961,21.00665474
19-10-1961,21.70618439
20-10-1961,21.76639938
21-10-1961,21.97181511
22-10-1961,22.25279808
23-10-1961,22.59949303
24-10-1961,22.99159813
25-10-1961,22.741642
26-10-1961,22.29240227
27-10-1961,20.90415382
28-10-1961,21.19742584
29-10-1961,21.58241844
30-10-1961,18.90350723
